dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1483228800,2017-01-01 00:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,20.99,10000,11.89,20.61,20.96,23.17,1016,,,56,6.7,210,,,,,,0,800,Clear,sky is clear,01n
1483232400,2017-01-01 01:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,19.8,10000,11.57,19.38,17.01,23.98,1016,,,59,3.6,200,,,,,,0,800,Clear,sky is clear,01n
1483236000,2017-01-01 02:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,16.93,10000,9.85,16.32,15.21,18.01,1016,,,63,4.63,150,,,,,,0,800,Clear,sky is clear,01n
1483239600,2017-01-01 03:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,17.34,10000,10.24,16.77,14.46,21.88,1016,,,63,3.6,160,,,,,,0,800,Clear,sky is clear,01n
1483243200,2017-01-01 04:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,16.59,10000,10.44,16.05,13.88,21.28,1017,,,67,3.6,160,,,,,,0,800,Clear,sky is clear,01n
1483246800,2017-01-01 05:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,15.6,10000,10.58,15.1,12.5,19.88,1016,,,72,2.1,160,,,,,,0,800,Clear,sky is clear,01n
1483250400,2017-01-01 06:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,15.9,10000,10.86,15.43,12.5,19.55,1016,,,72,1.54,150,,,,,,0,800,Clear,sky is clear,01n
1483254000,2017-01-01 07:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,15.32,10000,11.12,14.89,11.93,18.83,1016,,,76,0.51,0,,,,,,0,800,Clear,sky is clear,01n
1483257600,2017-01-01 08:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,14.34,5000,11.31,13.97,11.27,17.77,1016,,,82,0.51,0,,,,,,0,711,Smoke,smoke,50n
1483261200,2017-01-01 09:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,14.42,5000,10.25,13.9,11.39,17.84,1016,,,76,1.54,330,,,,,,0,711,Smoke,smoke,50n
1483264800,2017-01-01 10:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,15.76,5000,12.7,15.53,12.71,19.92,1016,,,82,0,0,,,,,,0,711,Smoke,smoke,50d
1483268400,2017-01-01 11:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,14.99,5000,10.8,14.53,14.96,15.17,1017,,,76,1.03,0,,,,,,0,711,Smoke,smoke,50d
1483272000,2017-01-01 12:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,17.99,5000,11.78,17.59,17.96,18.17,1017,,,67,1.03,0,,,,,,0,711,Smoke,smoke,50d
1483275600,2017-01-01 13:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,20.99,10000,11.89,20.61,20.17,21.01,1017,,,56,1.03,0,,,,,,0,800,Clear,sky is clear,01d
1483279200,2017-01-01 14:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,22.99,10000,11.71,22.62,22.96,23.17,1017,,,49,2.1,220,,,,,,0,800,Clear,sky is clear,01d
1483282800,2017-01-01 15:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,23.99,10000,12.94,23.75,23.96,26.17,1017,,,50,2.1,180,,,,,,0,800,Clear,sky is clear,01d
1483286400,2017-01-01 16:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,26.99,10000,11.87,26.81,26.96,27.17,1016,,,39,4.12,160,,,,,,0,800,Clear,sky is clear,01d
1483290000,2017-01-01 17:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,29.99,10000,9.51,28.61,28.17,30.01,1016,,,28,5.14,160,,,,,,0,800,Clear,sky is clear,01d
1483293600,2017-01-01 18:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,28.99,10000,8.66,27.76,28.96,30.17,1016,,,28,4.63,160,,,,,,0,800,Clear,sky is clear,01d
1483297200,2017-01-01 19:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,30.99,10000,7.45,29.21,30.96,31.17,1015,,,23,5.7,170,,,,,,0,800,Clear,sky is clear,01d
1483300800,2017-01-01 20:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,31.99,10000,7.63,30.09,31.96,32.17,1015,,,22,6.2,210,,,,,,0,800,Clear,sky is clear,01d
1483304400,2017-01-01 21:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,29.99,10000,9.51,28.61,29.96,32.17,1014,,,28,7.2,220,,,,,,0,800,Clear,sky is clear,01d
1483308000,2017-01-01 22:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,28.99,10000,9.68,27.86,28.96,31.17,1014,,,30,7.72,230,,,,,,0,800,Clear,sky is clear,01d
1483311600,2017-01-01 23:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,26.99,10000,9.81,26.58,26.96,29.17,1014,,,34,8.23,210,,,,,,0,800,Clear,sky is clear,01d
1483315200,2017-01-02 00:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,24.99,10000,8.9,24.48,24.96,27.17,1014,,,36,7.2,200,,,,,,0,800,Clear,sky is clear,01n
1483318800,2017-01-02 01:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,22.02,10000,5.87,21.19,18.62,26.19,1014,,,35,5.7,200,,,,,,0,800,Clear,sky is clear,01n
1483322400,2017-01-02 02:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,21.51,10000,6.61,20.71,17.87,25.59,1015,,,38,3.1,170,,,,,,0,800,Clear,sky is clear,01n
1483326000,2017-01-02 03:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,19.55,10000,7.63,18.76,16.02,24.02,1015,,,46,3.1,150,,,,,,0,800,Clear,sky is clear,01n
1483329600,2017-01-02 04:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,19.81,10000,6.88,18.97,15.57,23.53,1014,,,43,1.54,110,,,,,,0,800,Clear,sky is clear,01n
1483333200,2017-01-02 05:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,18.95,10000,8.01,18.18,14.57,22.52,1014,,,49,1.54,160,,,,,,0,800,Clear,sky is clear,01n
1483336800,2017-01-02 06:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,18.1,10000,8.1,17.32,13.62,21.64,1013,,,52,1.03,0,,,,,,0,800,Clear,sky is clear,01n
1483340400,2017-01-02 07:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,16.67,10000,8.38,15.91,12.69,20.83,1013,,,58,1.03,0,,,,,,0,800,Clear,sky is clear,01n
1483344000,2017-01-02 08:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,16.21,10000,7.95,15.4,11.86,20.2,1013,,,58,2.6,30,,,,,,0,800,Clear,sky is clear,01n
1483347600,2017-01-02 09:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,16.61,10000,7.54,15.76,12.12,20.2,1014,,,55,0.51,0,,,,,,0,800,Clear,sky is clear,01n
1483351200,2017-01-02 10:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,17.63,8000,9.28,16.96,13.84,21.98,1014,,,58,1.03,0,,,,,,0,800,Clear,sky is clear,01d
1483354800,2017-01-02 11:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,16.99,7000,8.93,16.29,16.96,17.17,1015,,,59,1.54,320,,,,,,0,800,Clear,sky is clear,01d
1483358400,2017-01-02 12:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,21.99,10000,9.85,21.45,20.17,22.01,1015,,,46,1.03,0,,,,,,0,800,Clear,sky is clear,01d
1483362000,2017-01-02 13:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,22.99,10000,8.68,22.39,22.96,23.17,1015,,,40,1.03,0,,,,,,0,800,Clear,sky is clear,01d
1483365600,2017-01-02 14:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,24.99,10000,8.9,24.48,24.96,26.17,1015,,,36,1.54,200,,,,,,0,800,Clear,sky is clear,01d
1483369200,2017-01-02 15:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,26.99,10000,10.66,26.67,26.96,28.17,1015,,,36,3.1,150,,,,,,0,800,Clear,sky is clear,01d
1483372800,2017-01-02 16:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,28.99,10000,8.66,27.76,28.96,30.17,1015,,,28,4.12,160,,,,,,0,800,Clear,sky is clear,01d
1483376400,2017-01-02 17:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,30.99,10000,8.68,29.33,30.17,31.01,1014,,,25,3.6,140,9.8,,,,,0,800,Clear,sky is clear,01d
1483380000,2017-01-02 18:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,30.99,10000,4.69,29.03,30.96,32.17,1014,,,19,5.7,220,,,,,,0,800,Clear,sky is clear,01d
1483383600,2017-01-02 19:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,30.99,10000,4.69,29.03,30.96,32.17,1014,,,19,7.2,220,,,,,,0,800,Clear,sky is clear,01d
1483387200,2017-01-02 20:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,30.99,10000,4.69,29.03,30.96,32.17,1014,,,19,8.8,220,,,,,,0,800,Clear,sky is clear,01d
1483390800,2017-01-02 21:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,29.99,10000,4.61,28.23,29.96,31.17,1014,,,20,8.8,220,,,,,,0,800,Clear,sky is clear,01d
1483394400,2017-01-02 22:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,27.99,8000,5.56,26.85,27.96,29.17,1013,,,24,9.8,220,,,,,,0,800,Clear,sky is clear,01d
1483398000,2017-01-02 23:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,25.99,8000,4.46,25.99,25.96,27.17,1014,,,25,8.23,210,,,,,,0,800,Clear,sky is clear,01d
1483401600,2017-01-03 00:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,23.99,6000,2.77,23.1,23.96,25.17,1014,,,25,7.72,190,,,,,,0,800,Clear,sky is clear,01n
1483405200,2017-01-03 01:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,21.91,8000,-2.42,20.65,18.23,25.6,1015,,,19,6.7,180,,,,,,0,800,Clear,sky is clear,01n
1483408800,2017-01-03 02:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,19.95,7000,-1.06,18.63,16.32,23.93,1015,,,24,4.12,140,,,,,,0,800,Clear,sky is clear,01n
1483412400,2017-01-03 03:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,19.1,10000,1.14,17.85,15.14,22.76,1016,,,30,3.1,150,,,,,,0,800,Clear,sky is clear,01n
1483416000,2017-01-03 04:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,18.07,8000,3.17,16.9,13.97,21.55,1016,,,37,3.6,150,,,,,,0,800,Clear,sky is clear,01n
1483419600,2017-01-03 05:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,16.85,8000,4.86,15.77,12.54,20.25,1015,,,45,4.12,160,,,,,,0,800,Clear,sky is clear,01n
1483423200,2017-01-03 06:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,15.86,10000,5.75,14.83,11.8,19.5,1015,,,51,3.1,160,,,,,,0,800,Clear,sky is clear,01n
1483426800,2017-01-03 07:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,15.69,10000,5.59,14.65,11.41,19.28,1014,,,51,1.54,160,,,,,,0,800,Clear,sky is clear,01n
1483430400,2017-01-03 08:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,15.86,10000,6.58,14.91,11.99,19.78,1014,,,54,1.03,0,,,,,,0,800,Clear,sky is clear,01n
1483434000,2017-01-03 09:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,15.74,8000,7.51,14.88,12,19.84,1014,,,58,2.1,260,,,,,,0,800,Clear,sky is clear,01n
1483437600,2017-01-03 10:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,15.66,8000,7.43,14.8,12.26,19.43,1015,,,58,0.51,0,,,,,,0,800,Clear,sky is clear,01d
1483441200,2017-01-03 11:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,12.99,7000,5.89,11.96,12.96,16.17,1015,,,62,1.03,0,,,,,,0,800,Clear,sky is clear,01d
1483444800,2017-01-03 12:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,17.99,8000,7.71,17.18,17.96,18.17,1016,,,51,2.1,190,,,,,,0,800,Clear,sky is clear,01d
1483448400,2017-01-03 13:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,18.99,10000,6.8,18.12,18.96,19.17,1016,,,45,1.54,130,,,,,,0,800,Clear,sky is clear,01d
1483452000,2017-01-03 14:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,19.99,10000,7.71,19.22,19.96,21.17,1015,,,45,3.1,150,,,,,,0,800,Clear,sky is clear,01d
1483455600,2017-01-03 15:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,22.99,10000,6.72,22.26,22.17,23.01,1015,,,35,1.54,0,,,,,,0,800,Clear,sky is clear,01d
1483459200,2017-01-03 16:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,25.99,10000,5.57,25.99,25.96,27.17,1015,,,27,4.12,160,,,,,,0,800,Clear,sky is clear,01d
1483462800,2017-01-03 17:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,26.99,10000,8.91,26.49,26.96,27.17,1014,,,32,5.7,170,,,,,,0,800,Clear,sky is clear,01d
1483466400,2017-01-03 18:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,28.99,10000,5.78,27.54,28.17,29.01,1014,,,23,4.63,180,,,,,,0,800,Clear,sky is clear,01d
1483470000,2017-01-03 19:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,28.99,10000,3.78,27.45,28.96,30.17,1013,,,20,5.7,200,,,,,,0,800,Clear,sky is clear,01d
1483473600,2017-01-03 20:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,29.99,10000,3.87,28.2,29.96,30.17,1013,,,19,6.7,220,,,,,,0,800,Clear,sky is clear,01d
1483477200,2017-01-03 21:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,27.99,8000,5.56,26.85,27.96,30.17,1013,,,24,8.23,220,,,,,,0,800,Clear,sky is clear,01d
1483480800,2017-01-03 22:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,26.99,8000,5.87,26.27,26.96,28.17,1012,,,26,7.72,210,,,,,,0,800,Clear,sky is clear,01d
1483484400,2017-01-03 23:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,24.99,10000,7.62,24.41,24.96,27.17,1013,,,33,8.23,210,,,,,,0,800,Clear,sky is clear,01d
1483488000,2017-01-04 00:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,21.99,10000,7.79,21.29,21.96,24.17,1013,,,40,7.7,220,,,,,,0,711,Smoke,smoke,50n
1483491600,2017-01-04 01:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,20.9,7000,5.68,20.01,17.92,25.38,1014,,,37,7.2,200,,,,,,0,800,Clear,sky is clear,01n
1483495200,2017-01-04 02:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,19.07,7000,6.87,18.21,16.01,23.53,1014,,,45,3.1,150,,,,,,0,800,Clear,sky is clear,01n
1483498800,2017-01-04 03:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,18.05,10000,7.77,17.24,14.82,22.32,1014,,,51,3.6,170,,,,,,0,800,Clear,sky is clear,01n
1483502400,2017-01-04 04:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,17.63,10000,7.38,16.78,14.28,21.78,1014,,,51,2.1,170,,,,,,0,800,Clear,sky is clear,01n
1483506000,2017-01-04 05:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,16.81,10000,6.63,15.88,12.88,20.34,1013,,,51,1.03,0,,,,,,0,800,Clear,sky is clear,01n
1483509600,2017-01-04 06:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,16.55,10000,6.39,15.59,12.38,19.79,1013,,,51,1.54,170,,,,,,0,800,Clear,sky is clear,01n
1483513200,2017-01-04 07:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,15.9,10000,7.66,15.06,12.26,19.91,1012,,,58,2.6,170,,,,,,0,800,Clear,sky is clear,01n
1483516800,2017-01-04 08:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,14.95,10000,6.77,14.02,10.7,18.82,1012,,,58,1.54,160,,,,,,0,800,Clear,sky is clear,01n
1483520400,2017-01-04 09:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,14.16,10000,7.91,13.35,10.36,18.48,1012,,,66,1.03,340,,,,,,0,800,Clear,sky is clear,01n
1483524000,2017-01-04 10:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,14.91,8000,8.62,14.18,11.29,18.7,1013,,,66,1.54,320,,,,,,0,800,Clear,sky is clear,01d
1483527600,2017-01-04 11:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,14.99,10000,6.8,14.06,14.17,15.01,1013,,,58,1.03,0,,,,,,0,800,Clear,sky is clear,01d
1483531200,2017-01-04 12:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,16.99,10000,7.9,16.18,16.96,17.17,1014,,,55,1.54,150,,,,,,0,800,Clear,sky is clear,01d
1483534800,2017-01-04 13:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,21.99,10000,16.05,22.05,19.17,24.01,1013,,,69,1.54,40,,,,,,0,800,Clear,sky is clear,01d
1483538400,2017-01-04 14:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,20.99,10000,7.95,20.27,20.96,22.17,1013,,,43,1.54,0,,,,,,0,800,Clear,sky is clear,01d
1483542000,2017-01-04 15:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,23.99,10000,8.81,23.44,23.96,24.17,1012,,,38,2.1,0,,,,,,0,800,Clear,sky is clear,01d
1483545600,2017-01-04 16:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,25.99,10000,7.57,25.99,25.96,26.17,1012,,,31,3.6,180,,,,,,0,800,Clear,sky is clear,01d
1483549200,2017-01-04 17:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,27.99,10000,8.82,27.09,27.96,28.17,1011,,,30,5.14,160,,,,,,0,800,Clear,sky is clear,01d
1483552800,2017-01-04 18:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,29.99,10000,6.62,28.34,29.17,30.01,1011,,,23,6.2,170,,,,,,0,800,Clear,sky is clear,01d
1483556400,2017-01-04 19:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,29.99,10000,5.98,28.3,29.96,30.17,1011,,,22,7.2,200,,,,,,0,800,Clear,sky is clear,01d
1483560000,2017-01-04 20:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,29.99,10000,3.87,28.2,29.96,30.17,1010,,,19,6.7,200,,,,,,0,800,Clear,sky is clear,01d
1483563600,2017-01-04 21:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,28.99,10000,3.78,27.45,28.96,30.17,1010,,,20,6.7,220,,,,,,0,800,Clear,sky is clear,01d
1483567200,2017-01-04 22:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,27.01,,7.97,26.43,25.17,31.58,1008,,,30,2.98,217,,,,,,0,800,Clear,sky is clear,01d
1483570800,2017-01-04 23:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,25.28,,6.96,24.67,23.4,29.77,1008,,,31,2.49,226,,,,,,0,800,Clear,sky is clear,01d
1483574400,2017-01-05 00:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,21.13,,7.02,20.34,18.67,26.25,1009,,,40,2.6,246,,,,,,0,800,Clear,sky is clear,01n
1483578000,2017-01-05 01:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,21.58,,9.15,20.97,18.88,27.23,1009,,,45,2.19,265,,,,,,0,800,Clear,sky is clear,01n
1483581600,2017-01-05 02:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,20.88,10000,5.66,19.99,17.64,25.69,1011,,,37,3.6,160,,,,,,0,800,Clear,sky is clear,01n
1483585200,2017-01-05 03:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,20.55,10000,5.37,19.63,16.91,24.75,1011,,,37,3.6,150,,,,,,0,800,Clear,sky is clear,01n
1483588800,2017-01-05 04:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,20.01,10000,4.89,19.03,16.42,24.28,1011,,,37,5.14,170,,,,,,0,800,Clear,sky is clear,01n
1483592400,2017-01-05 05:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,19.74,10000,3.45,18.66,15.84,23.8,1011,,,34,4.12,190,,,,,,0,800,Clear,sky is clear,01n
1483596000,2017-01-05 06:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,19.19,10000,4.16,18.13,15.8,23.45,1010,,,37,4.63,180,,,,,,0,800,Clear,sky is clear,01n
1483599600,2017-01-05 07:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,17.35,10000,3.98,16.21,15.99,18.45,1010,,,41,3.1,180,,,,,,0,800,Clear,sky is clear,01n
1483603200,2017-01-05 08:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,16.12,10000,5.99,15.12,14.96,17.66,1010,,,51,1.54,340,,,,,,0,800,Clear,sky is clear,01n
1483606800,2017-01-05 09:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,15.89,10000,5.78,14.87,14.96,17.58,1010,,,51,2.6,360,,,,,,0,800,Clear,sky is clear,01n
1483610400,2017-01-05 10:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,15.49,10000,6.23,14.5,13.96,17.13,1010,,,54,1.54,10,,,,,,0,800,Clear,sky is clear,01d
1483614000,2017-01-05 11:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,14.99,10000,4.95,13.88,14.96,15.17,1011,,,51,1.03,0,,,,,,0,800,Clear,sky is clear,01d
1483617600,2017-01-05 12:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,18.99,10000,5.8,18.04,18.17,19.01,1011,,,42,1.54,360,,,,,,0,800,Clear,sky is clear,01d
1483621200,2017-01-05 13:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,21.99,10000,5.84,21.16,21.96,22.17,1010,,,35,1.03,0,,,,,,0,800,Clear,sky is clear,01d
1483624800,2017-01-05 14:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,24.99,10000,5.74,24.3,24.96,25.17,1011,,,29,1.54,0,,,,,,0,800,Clear,sky is clear,01d
1483628400,2017-01-05 15:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,25.96,10000,5,25.96,24.56,27.17,1010,,,26,1.54,0,,,,,,0,800,Clear,sky is clear,01d
1483632000,2017-01-05 16:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,28.99,10000,6.99,27.62,28.96,29.17,1010,,,25,3.6,200,,,,,,0,800,Clear,sky is clear,01d
1483635600,2017-01-05 17:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,30.99,10000,5.43,29.07,30.96,31.17,1010,,,20,6.7,160,,,,,,0,800,Clear,sky is clear,01d
1483639200,2017-01-05 18:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,31.99,10000,5.5,29.92,31.96,32.17,1011,,,19,6.7,180,,,,,,0,800,Clear,sky is clear,01d
1483642800,2017-01-05 19:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,31.99,10000,7.63,30.09,31.96,33.17,1010,,,22,6.2,220,,,,,,0,800,Clear,sky is clear,01d
1483646400,2017-01-05 20:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,31.99,10000,7.63,30.09,31.96,33.17,1010,,,22,7.2,220,,,,,,0,800,Clear,sky is clear,01d
1483650000,2017-01-05 21:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,29.99,10000,7.84,28.43,29.96,33.17,1010,,,25,8.23,220,,,,,,0,800,Clear,sky is clear,01d
1483653600,2017-01-05 22:00:00 +0000 UTC,-10800,Arturo Merino Benitez International Airport,-33.401969,-70.792808,27.99,10000,7.8,27,27.96,30.17,1010,,,28,8.8,210,,,,,,0,800,Clear,sky is clear,01d
